URL,Size,Outlinks_size,content-type
https://www.c-span.org/,61956,106,text/html; charset=UTF-8
https://www.c-span.org/about/books/,34181,78,text/html; charset=UTF-8
https://www.c-span.org/special/?lincolnBook,30178,56,text/html; charset=UTF-8
https://www.c-span.org/about/mission/,31377,58,text/html; charset=UTF-8
https://www.c-span.org/about/faq/,49022,63,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fabout%2Fmission%2F,36234,56,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/resetPassword/,30332,55,text/html; charset=UTF-8
https://www.c-span.org/special/?grantsTomb,30176,56,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fabout%2Ffaq%2F,36222,56,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fspecial%2F%3FgrantsTomb,36249,56,text/html; charset=UTF-8
https://www.c-span.org/SundaysAtEight/,30181,56,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?redir=%2FMyC-SPAN%2FresetPassword%2F,36261,56,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fspecial%2F%3FlincolnBook,36252,56,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?redir=%2FSundaysAtEight%2F,36235,56,text/html; charset=UTF-8
https://www.c-span.org/about/pressCenter/,78143,216,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fabout%2Fbooks%2F,36228,56,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fabout%2FpressCenter%2F,36246,56,text/html; charset=UTF-8
https://www.c-span.org/classroom/,54344,120,text/html; charset=UTF-8
https://www.c-span.org/classroom/login/?redir=classroom%2Fdocument%2F%3F6668,12432,67,text/html; charset=UTF-8
https://www.c-span.org/series/?PrimeMinisterQue,39736,73,text/html; charset=UTF-8
https://www.c-span.org/series/?qa,40940,76,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?follow=tag%2F5698,36304,57,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?redir=%2FMyC-SPAN%2Flogin%2F%3Ffollow%3Dtag%252F5698,36297,57,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fseries%2F%3Fqa,36222,56,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?topicids%5B%5D=59,40060,106,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?topicids%5B%5D=78,39672,105,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?redir=%2FMyC-SPAN%2Flogin%2F%3Ffollow%3Dtag%2F5698,36291,56,text/html; charset=UTF-8
https://www.c-span.org/search/?searchtype=Clips&sort=Most%20Popular&tagid%5B%5D=5709,60325,95,text/html; charset=UTF-8
https://www.c-span.org/series/?ahtv,90778,141,text/html; charset=UTF-8
https://www.c-span.org/search/?searchtype=Videos&seriesid%5B%5D=75&sort=Most%2BRecent%2BAiring,72769,96,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7498,13425,73,text/html; charset=UTF-8
https://www.c-span.org/series/?newsmakers,40372,73,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7706,13464,72,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fseries%2F%3FPrimeMinisterQue,36264,56,text/html; charset=UTF-8
https://www.c-span.org/classroom/contact/,11817,66,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?topicids%5B%5D=56,40206,106,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7429,13517,75,text/html; charset=UTF-8
https://www.c-span.org/series/?tocqueville,40100,74,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7543,13462,72,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7702,13833,73,text/html; charset=UTF-8
https://www.c-span.org/search/?searchtype=Clips&sort=Most%20Popular&tagid%5B%5D=1069,64701,97,text/html; charset=UTF-8
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fsearch%2F%3Ftopicids%255B%255D%3D59,12487,68,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?topicids%5B%5D=57,40086,105,text/html; charset=UTF-8
https://www.c-span.org/about/contactUs/,33261,63,text/html; charset=UTF-8
https://www.c-span.org/about/copyrightsAndLicensing/,38268,55,text/html; charset=UTF-8
https://www.c-span.org/search/?edate=02%2F20%2F2018&sdate=02%2F17%2F2018&searchtype=Videos&sort=Most%2BPopular,71955,89,text/html; charset=UTF-8
https://www.c-span.org/congress/,60984,96,text/html; charset=UTF-8
